title,tunecode,iswc,publisher,work_status,previously_distributed
13,478739ET,--,"Universal Music Corporation
Pw Arrangements
Good Groove Songs Ltd
Universal Music Publishing International Ltd",Work Registered,No/No
19,183619HQ,T-910.780.585-6,"Office Girls Partnership Ltd Dba Og Music
Supreme Songs Ltd",Work Registered,No/No
20 Degrees,478728FM,--,"Universal Music Corporation
Pw Arrangements
Good Groove Songs Ltd
Universal Music Publishing International Ltd",Work Registered,No/No
365 Days,117644FN,--,"Good Groove Songs Ltd
Universal Music Corporation
Universal Music Publishing International Ltd
Universal/Mca Music Limited",Work Registered,No/No
365 Days,186070DR,--,"Good Groove Songs Ltd
Universal Music Corporation
Universal Music Publishing International Ltd
Universal/Mca Music Limited",Work Registered,No/No
365 Days,478720EW,--,"Universal Music Corporation
Pw Arrangements
Good Groove Songs Ltd
Universal Music Publishing International Ltd",Work Registered,No/No
44 Days,186325EN,--,"Good Groove Songs Ltd
Universal Music Corporation
Universal Music Publishing International Ltd
Universal/Mca Music Limited",Work Registered,No/No
44 Days,478728FP,--,"Universal Music Corporation
Pw Arrangements
Good Groove Songs Ltd
Universal Music Publishing International Ltd",Work Registered,No/No
70'S Disco,186325DU,--,"Good Groove Songs Ltd
Universal Music Corporation
Universal Music Publishing International Ltd
Universal/Mca Music Limited",Work Registered,No/No
70'S Disco,478739FT,--,"Universal Music Corporation
Pw Arrangements
Good Groove Songs Ltd
Universal Music Publishing International Ltd",Work Registered,No/No
70S Disco,8318104J,--,"Good Groove Songs Ltd
Universal Music Corporation
Universal Music Publishing International Ltd
Universal/Mca Music Limited",Work Registered,No/Yes
A Picture,186325EP,T-011.621.431-3,"Good Groove Songs Ltd
Universal Music Corporation
Universal Music Publishing International Ltd
Universal/Mca Music Limited",Work Registered,No/No
A Picture,478728FW,T-011.621.431-3,"Universal Music Corporation
Pw Arrangements
Good Groove Songs Ltd
Universal Music Publishing International Ltd",Work Registered,No/No
A Picture,5648100H,T-011.621.431-3,"Bryan Morrison Music Ltd
Universal Music Publishing International Ltd
Universal Music Publishing Limited",Work Fully Documented,No/No
Adrenaline Rush,478711HN,--,"Universal Music Corporation
Pw Arrangements
Good Groove Songs Ltd
Universal Music Publishing International Ltd",Work Registered,No/No
Adrenaline Rush,9199784X,T-922.226.060-8,"Good Groove Songs Ltd
Universal Music Corporation
Universal Music Publishing International Ltd
Universal/Mca Music Limited",Work Registered,Yes/Yes
After The Storm,186325ET,T-011.622.530-9,"Good Groove Songs Ltd
Universal Music Corporation
Universal Music Publishing International Ltd
Universal/Mca Music Limited",Work Registered,No/No
After The Storm,478728GS,T-011.622.530-9,"Universal Music Corporation
Pw Arrangements
Good Groove Songs Ltd
Universal Music Publishing International Ltd",Work Registered,No/No
Alive,122043CM,T-319.275.492-6,"Rhythm Addiction
Universal Music Publishing International Ltd
Universal Music Publishing Mgb Limited
Universal Music Publ International Mgb Ltd",Work Registered,No/No
Alive,186068GP,--,"Good Groove Songs Ltd
Universal Music Corporation
Universal Music Publishing International Ltd
Universal/Mca Music Limited",Work Registered,No/No
Alive,478755ES,T-319.967.866-1,"Universal Music Corporation
Pw Arrangements
Good Groove Songs Ltd
Universal Music Publishing International Ltd",Work Registered,No/No
Alive,5149457J,T-319.275.492-6,"Rhythm Addiction
Good Groove Songs Ltd
Universal Music Corporation
Universal Music Publishing International Ltd",Work Registered,No/No
Alive,521192KP,--,"Rhythm Addiction
Bmg Rights Management (Uk) Limited
Bmg Platinum Songs Us
Third Story Music Inc",Work Registered,No/No
All I Can See,282626DQ,T-928.124.617-1,,Work Registered,Yes/Yes
All I Can See,366121EM,T-928.124.617-1,Universal Music Publishing Limited,Work Registered,No/No
All I Wanna Do,478739LM,T-011.721.432-0,"Universal Music Corporation
Pw Arrangements
Good Groove Songs Ltd
Universal Music Publishing International Ltd",Work Registered,No/No
All I Wanna Do,8738183X,T-011.721.432-0,"Good Groove Songs Ltd
Universal Music Corporation
Universal Music Publishing International Ltd
Universal/Mca Music Limited",Work Registered,No/Yes
All Night,186070EN,--,"Good Groove Songs Ltd
Universal Music Corporation
Universal Music Publishing International Ltd
Universal/Mca Music Limited",Work Registered,No/No
All Night,478728HQ,--,"Universal Music Corporation
Pw Arrangements
Good Groove Songs Ltd
Universal Music Publishing International Ltd",Work Registered,No/No
All That I Am,3714622H,T-011.117.115-3,,Work Registered,No/Yes
An Hour,186325CQ,--,"Good Groove Songs Ltd
Universal Music Corporation
Universal Music Publishing International Ltd
Universal/Mca Music Limited",Work Registered,No/No
